date	SP500	SPDIV	USRF	MSCIE	GOLD	SMICHF	SMIUSD	WINE	BORD
1962-01-31	69.07	2.02667	2.72						
1962-02-28	70.22	2.03333	2.73						
1962-03-31	70.29	2.04	2.72						
1962-04-30	68.05	2.04667	2.73						
1962-05-31	62.99	2.05333	2.69						
1962-06-30	55.63	2.06	2.73						
1962-07-31	56.97	2.06667	2.92						
1962-08-31	58.52	2.07333	2.82						
1962-09-30	58	2.08	2.78						
1962-10-31	56.17	2.09667	2.74						
1962-11-30	60.04	2.11333	2.83						
1962-12-31	62.64	2.13	2.87						
1963-01-31	65.06	2.13667	2.91						
1963-02-28	65.92	2.14333	2.92						
1963-03-31	65.67	2.15	2.89						
1963-04-30	68.76	2.16667	2.9						
1963-05-31	70.14	2.18333	2.93						
1963-06-30	70.11	2.2	2.99						
1963-07-31	69.07	2.20333	3.18						
1963-08-31	70.98	2.20667	3.32						
1963-09-30	72.85	2.21	3.38						
1963-10-31	73.03	2.23333	3.45						
1963-11-30	72.62	2.25667	3.52						
1963-12-31	74.17	2.28	3.52						
1964-01-31	76.45	2.29667	3.52						
1964-02-29	77.39	2.31333	3.53						
1964-03-31	78.8	2.33	3.54						
1964-04-30	79.94	2.34667	3.47						
1964-05-31	80.72	2.36333	3.48						
1964-06-30	80.24	2.38	3.48						
1964-07-31	83.22	2.4	3.46						
1964-08-31	82	2.42	3.5						
1964-09-30	83.41	2.44	3.53						
1964-10-31	84.85	2.46	3.57						
1964-11-30	85.44	2.48	3.64						
1964-12-31	83.96	2.5	3.84						
1965-01-31	86.12	2.51667	3.81						
1965-02-28	86.75	2.53333	3.93						
1965-03-31	86.83	2.55	3.93						
1965-04-30	87.97	2.57	3.93						
1965-05-31	89.28	2.59	3.89						
1965-06-30	85.04	2.61	3.8						
1965-07-31	84.91	2.62667	3.84						
1965-08-31	86.49	2.64333	3.84						
1965-09-30	89.38	2.66	3.92						
1965-10-31	91.39	2.68	4.03						
1965-11-30	92.15	2.7	4.09						
1965-12-31	91.73	2.72	4.38						
1966-01-31	93.32	2.74	4.59						
1966-02-28	92.69	2.76	4.65						
