date	DIST	FI	MAC	ELS	MULT	mktrf	smb	hml	rmw	cma	rf
2000-12-31	235.7	156.56	241.52	283.25	191.9	1.19	3.17	7.33	1.96	5.71	0.5
2001-01-31	242.51	158.79	249.53	281.6	195.04	3.13	5.73	-4.9	-4.91	-6.54	0.54
2001-02-28	247.16	159.63	252	274.79	195.51	-10.05	2.73	12.9	9.49	9.58	0.38
2001-03-31	250.56	160.02	258.9	269.47	195.69	-7.26	2.35	6.45	3.47	3.95	0.42
2001-04-30	253.05	162.13	260.69	271.55	198.21	7.94	-0.68	-4.69	-2.98	-3.97	0.39
2001-05-31	259.17	162.97	266.28	272.63	199.41	0.72	3.6	3.14	0.28	2.19	0.32
2001-06-30	266.05	163.79	269.03	273.78	198.85	-1.94	6.59	-1.06	1.64	-1.8	0.28
2001-07-31	268.7	165.28	270.89	271.82	200	-2.13	-2.84	5.58	7.45	3	0.3
2001-08-31	272.05	166.34	273.59	273.04	201.86	-6.46	2.73	2.5	3.86	6.5	0.31
2001-09-30	269.91	166.64	276.79	268.76	200.87	-9.25	-5.58	1.6	5.44	3.28	0.28
2001-10-31	276.26	169.22	280.05	266.62	202.17	2.46	5.37	-8.1	-2.95	-4.6	0.22
2001-11-30	278.35	168.76	279.02	269.56	202.93	7.54	-0.36	2	-3.93	-1.66	0.17
2001-12-31	282.86	169.15	285.92	272.91	202.45	1.61	5.13	1.1	0.42	-0.32	0.15
2002-01-31	287.32	170.9	293.46	271.27	202.39	-1.44	1.2	3.33	4.29	2.84	0.14
2002-02-28	285.52	172.39	295	268.59	201.84	-2.29	-0.42	2.5	7.78	5.14	0.13
2002-03-31	289.02	173.48	294.43	271.04	203.25	4.24	4.22	1.1	-1.6	0.58	0.13
2002-04-30	291.58	175.82	299.43	272.69	204.87	-5.2	6.62	3.93	4.28	5.39	0.15
2002-05-31	292.12	178.36	301.77	274.87	206.61	-1.38	-3.04	1.69	2.26	2.41	0.14
2002-06-30	281.06	179.52	306.06	271.41	206.79	-7.21	3.8	0.13	3.93	2.54	0.13
2002-07-31	269.06	181.46	312.64	263.39	204.82	-8.18	-6.23	-3.41	3.98	-0.73	0.15
2002-08-31	269.82	183.7	316.46	266.04	206.53	0.5	-1.23	2.49	1.47	-1.61	0.14
2002-09-30	269.15	181.61	318.85	264.79	208.27	-10.35	3.08	1.31	3.22	-2.29	0.14
2002-10-31	267.21	177.49	321.13	265.01	210.36	7.84	-4.12	-5.46	-3.14	0.92	0.14
2002-11-30	277.65	176.55	325.07	266.53	214.07	5.96	2.83	-1.15	-9.5	5.16	0.12
2002-12-31	280.9	178.88	327.84	268.55	215.23	-5.76	0.54	2.25	6.2	-1.61	0.11
2003-01-31	289.66	181.14	334.49	268.36	218.39	-2.57	0.83	-0.93	-0.61	0.81	0.1
2003-02-28	292.24	182.94	340.76	267.79	218.62	-1.88	-0.89	-1.45	1.11	-0.54	0.09
2003-03-31	295.73	183.7	338.52	268.93	220.28	1.09	0.58	-2.09	1.99	-0.69	0.1
2003-04-30	305.39	186	345.82	275.48	223.69	8.22	1.03	1.03	-4.66	1.14	0.1
2003-05-31	312.33	188.38	356.07	285.62	228.08	6.05	4.79	-0.3	-7.11	3.22	0.09
2003-06-30	320.53	189.02	361.89	287.87	230.6	1.42	1.68	0.66	0.54	-0.32	0.1
2003-07-31	324.18	187.17	361.51	288.65	231.39	2.35	4.71	-1.15	-4.07	1.89	0.07
2003-08-31	327.49	187.56	366.22	291.64	233.09	2.34	2.53	2.03	-2.39	2.19	0.07
2003-09-30	334.74	189.73	377.36	295.18	237.01	-1.24	0.51	0.02	1.16	0.28	0.08
2003-10-31	341.36	190.6	377.7	302.43	239.87	6.08	2.63	1.75	-1.55	1.58	0.07
2003-11-30	345.49	191.6	379.77	307.56	241.99	1.35	2.19	1.86	-0.18	1.69	0.07
2003-12-31	351.45	193.14	386.82	314.93	247.61	4.29	-2.7	2.42	-0.04	1	0.08
2004-01-31	359.94	195.51	392.42	321.22	251.58	2.15	2.56	1.98	-3.59	3.34	0.07
2004-02-29	363.13	197.21	397.08	326.84	252.56	1.4	-0.89	0.49	2.54	-1.35	0.06
2004-03-31	365.26	196.25	400.95	327.5	253.59	-1.32	2.1	0.21	1.59	-1.04	0.09
2004-04-30	367.68	198.88	401.52	322.9	254.39	-1.83	-2.18	-2.62	3.13	-2.82	0.08
2004-05-31	368.62	200.14	401.71	321.73	254.06	1.17	-0.41	-0.39	-1.08	-0.09	0.06
2004-06-30	372.52	201.56	403.65	323.84	254.28	1.86	2.55	1.38	1.02	-0.39	0.08
2004-07-31	374.46	202.98	406.98	319.24	253.54	-4.06	-2.99	4.11	5.28	-1.63	0.1
2004-08-31	376.56	202.15	403.91	319.52	254.57	0.08	-1.28	1.03	1.3	-1.41	0.11
2004-09-30	381.21	200.57	401.95	327.06	256.02	1.6	3.3	-0.25	-1.26	-1.88	0.11
2004-10-31	388.29	202.85	406.86	331.78	257.53	1.43	0.29	-0.62	-0.08	0.41	0.11
2004-11-30	398.66	205.13	416.69	342.53	262.96	4.54	4.13	1.8	-1.09	-0.23	0.15
2004-12-31	406.33	206.38	419.68	351.35	266.26	3.43	0.01	-0.06	-1.34	0.5	0.16
2005-01-31	408.55	206.57	422.59	348.4	266.28	-2.76	-1.11	1.96	3.12	-1.37	0.16
2005-02-28	414.87	208.45	428.49	355.48	268.97	1.89	-0.29	1.64	1.33	-0.06	0.16
2005-03-31	417.57	209.02	430.69	351.43	269.29	-1.97	-1.41	1.56	0.49	1.09	0.21
2005-04-30	417.32	207.7	429.62	345.99	266.34	-2.61	-4.04	-0.35	0.82	-0.89	0.21
2005-05-31	417.88	205.13	429.91	347.74	263.86	3.65	2.71	-0.83	-1.37	0.26	0.24
2005-06-30	422.95	204.07	432.15	354.38	266.98	0.57	3.28	2.62	1.14	-0.53	0.23
2005-07-31	429.91	206.11	436.65	363.86	273.01	3.92	2.79	-0.51	-1.43	-0.98	0.24
2005-08-31	434.2	207.16	439.74	367.95	275.86	-1.22	-0.88	1.27	-2.32	0.45	0.3
2005-09-30	439.6	207.4	450.41	375.39	280.31	0.49	-0.29	0.77	0.56	-0.57	0.29
2005-10-31	439.16	207.95	446.53	366.8	277.42	-2.02	-1.4	0.23	-0.59	-1.26	0.27
2005-11-30	446.31	206.74	451.35	374.95	281.02	3.61	0.79	-1.18	-0.68	-1.17	0.31
2005-12-31	454.05	207.68	458.5	385.37	286.33	-0.25	-0.25	0.44	0.29	0.21	0.32
2006-01-31	465.48	210.63	473.94	401.47	294.23	3.04	5.76	1.12	-0.97	-0.53	0.35
2006-02-28	466.45	210.75	479.76	402.03	296.26	-0.3	-0.42	-0.25	-0.51	2.03	0.34
2006-03-31	474.53	211.95	484.86	411.88	302.34	1.46	3.43	0.61	-0.24	-0.53	0.37
2006-04-30	481.74	216.3	498.74	421.51	307.12	0.73	-0.81	2.59	1.31	-0.2	0.36
2006-05-31	483.62	218.05	495.75	409.55	306.78	-3.57	-3.01	2.55	0.89	1.31	0.43
2006-06-30	487.28	219.41	497.91	405.41	306.79	-0.35	-0.23	0.87	1.41	-0.12	0.4
2006-07-31	486.84	219.94	504.7	405.21	307.37	-0.78	-3.67	2.94	1.74	0.93	0.4
2006-08-31	492.44	219.89	500.8	411.45	309.16	2.03	0.44	-1.72	-1.76	2.15	0.42
2006-09-30	494.91	219.85	500.88	411.8	310.16	1.84	-1.44	0.05	0.91	0.54	0.41
2006-10-31	508.04	221.48	506.3	420.83	315.14	3.23	1.92	-0.04	-0.29	0.24	0.41
2006-11-30	516.11	224.06	513.57	431.79	322.25	1.71	0.83	0.07	0.2	-0.87	0.42
2006-12-31	524.79	225.67	520.55	440.78	327.96	0.87	-0.8	3.16	-0.73	2.05	0.4
2007-01-31	533.76	225.95	527.26	445.86	333.53	1.4	0.06	-0.11	0.12	0.23	0.44
2007-02-28	540.23	228.69	529.87	449.02	337.53	-1.96	1.39	-0.09	-0.48	-0.75	0.38
2007-03-31	547.11	230.74	536.26	457.41	340.3	0.68	0.05	-0.22	0.19	-0.61	0.43
2007-04-30	555.68	233.05	545.43	470.69	346.06	3.49	-2.02	-1.15	0.95	1.01	0.44
2007-05-31	567.24	233.62	555.18	481.56	353.99	3.24	0.3	-0.05	1.24	-1.3	0.41
2007-06-30	572.64	234.12	561.93	483.56	355.29	-1.96	0.75	-1.13	0.41	0.07	0.4
2007-07-31	571.24	229.52	567.32	480.24	354.38	-3.73	-2.89	-3.34	0.45	-1.04	0.4
2007-08-31	561.35	227.53	563.82	473.62	349.43	0.92	-0.36	-2.24	-1.05	-0.55	0.42
2007-09-30	567.75	231.74	586.95	489.3	355.63	3.22	-2.42	-1.87	-0.51	-3.17	0.32
2007-10-31	575.78	234.41	602.89	507.57	366.37	1.8	0.03	-2.59	-0.2	-0.1	0.32
2007-11-30	568.28	233.82	601.87	498.88	362.21	-4.83	-2.85	-1.18	1.62	-0.33	0.34
2007-12-31	568.63	234.31	610.92	500.98	361.1	-0.87	0.19	-0.52	0.87	-1.09	0.27
2008-01-31	558.96	234.97	638.05	480.67	354.58	-6.36	-0.52	3.65	1.89	2.2	0.21
2008-02-29	559.91	233.43	664.25	490.55	353.64	-3.09	-0.49	-0.95	0.83	-1.07	0.13
2008-03-31	554.07	218.43	652.97	480.43	346.94	-0.93	0.7	-0.15	0.77	0.47	0.17
2008-04-30	555.41	222.95	642.6	491	349.23	4.6	-1.11	-0.96	1.64	-2.56	0.18
2008-05-31	563.74	225.76	654.18	505.31	353.43	1.86	3.23	-1.38	0.86	0.04	0.18
2008-06-30	560.88	224.7	667.27	498.59	353.61	-8.44	1.15	-2.43	4.39	-0.42	0.17
2008-07-31	546.34	223.86	649.67	481.48	344.89	-0.77	3.68	5.81	-0.95	1.07	0.15
2008-08-31	545.97	222.3	640.79	471.3	340.54	1.53	3.42	1.56	1.74	0.81	0.13
2008-09-30	517.69	207.19	598.28	434.47	315.52	-9.24	0.38	6.33	2.81	1.8	0.15
2008-10-31	488.38	178.11	567.56	403.48	293.63	-17.23	-3.22	-2.89	3.42	1.87	0.08
2008-11-30	463.96	168.13	576.3	397.78	280.04	-7.86	-3.87	-5.94	4.82	2.72	0.03
2008-12-31	452.18	166.79	582.69	401.98	275.79	1.74	3.37	-0.24	0.13	-1.38	0
2009-01-31	451.93	167.59	596.27	401.28	285.03	-8.12	-2.02	-11.1	0.38	-1.22	0
2009-02-28	446.52	169.28	597.54	395.92	284.77	-10.1	-1.15	-7.25	1.94	-1.14	0.01
2009-03-31	447.05	172.23	597.7	403.27	285.84	8.95	0.63	3.53	-2.44	-2.25	0.02
2009-04-30	455.09	175.55	598.86	413.52	292.25	10.19	6.71	5.46	0.25	0.17	0.01
2009-05-31	473.99	183.16	607.68	435.16	304.75	5.21	-2.35	-0.21	-1.18	-2.13	0
2009-06-30	480.82	186.51	602.52	435	309.69	0.43	2.32	-2.71	-0.92	-0.16	0.01
2009-07-31	491.62	193.31	613.24	448.02	318.96	7.72	2.48	5.28	-0.47	3.21	0.01
2009-08-31	502.03	197.92	618.52	454.36	323.51	3.33	-0.06	7.76	-3.05	3.19	0.01
2009-09-30	519.01	203.4	635.64	469.03	332.76	4.08	2.75	0.92	1.68	0.38	0.01
2009-10-31	522.69	207.35	636.99	463.35	336.48	-2.59	-4.76	-4.17	4.21	-1.67	0
