date	VIX	rf	SPDIV	SP500	eurusd	FINANC
1999-01-31	26.25	0.361666667	16.28333333	1248.77		237.56
1999-02-28	27.88	0.37	16.36666667	1246.58	-3.347424726	240.45
1999-03-31	23.26	0.37	16.45	1281.66	-2.829599214	249.18
1999-04-30	25.07	0.3575	16.45	1334.76	-1.699430461	265.72
1999-05-31	25.39	0.375	16.45	1332.07	-0.663489394	250.69
1999-06-30	21.09	0.380833333	16.45	1322.55	-2.380056444	260.65
1999-07-31	24.64	0.379166667	16.51333333	1380.99	-0.067456876	244.1
1999-08-31	24.45	0.393333333	16.57666667	1327.49	2.266152363	232.62
1999-09-30	25.41	0.39	16.64	1318.17	-1.018387553	219.94
1999-10-31	22.2	0.405	16.65666667	1300.01	1.99104506	255.77
1999-11-30	24.18	0.4225	16.67333333	1391.00	-3.530730432	243.29
1999-12-31	24.64	0.433333333	16.69	1428.68	-2.110766847	238.03
2000-01-31	24.95	0.443333333	16.71333333	1425.59	0.207715134	229.99
2000-02-29	23.37	0.4625	16.73666667	1388.87	-2.931596091	205
2000-03-31	24.11	0.474166667	16.76	1442.21	-1.942241204	242.19
2000-04-30	26.2	0.471666667	16.74	1461.36	-2.011822047	234.32
2000-05-31	23.65	0.4825	16.72	1418.48	-4.127420891	249.65
2000-06-30	19.54	0.474166667	16.7	1461.96	4.923280715	234.52
2000-07-31	20.74	0.496666667	16.58333333	1473.00	-1.251972646	258.32
2000-08-31	16.84	0.5075	16.46666667	1485.46	-3.633070531	282.25
2000-09-30	20.57	0.5	16.35	1468.05	-3.869541183	288.87
2000-10-31	23.63	0.509166667	16.32333333	1390.14	-1.955146636	287.65
2000-11-30	29.65	0.514166667	16.29666667	1378.04	0.316715543	270.52
2000-12-31	26.85	0.480833333	16.27	1330.93	5.039756782	294.39
2001-01-31	22.02	0.429166667	16.17	1335.63	4.374930424	293.13
2001-02-28	28.35	0.406666667	16.07	1305.75	-1.823805461	273.44
2001-03-31	28.64	0.368333333	15.97	1185.85	-1.325366649	264.96
2001-04-30	25.48	0.3225	15.87666667	1189.84	-1.739513377	274.43
2001-05-31	22.64	0.301666667	15.78333333	1270.37	-1.927170868	284.93
2001-06-30	19.06	0.290833333	15.69	1238.71	-2.547697932	284.59
2001-07-31	21.62	0.2925	15.70666667	1204.45	0.996483001	279.6
