date	nodur	durbl	manuf	enrgy	hitec	telcm	shops	hlth 	utils	other	mktrf	smb	hml	rf	dol	gold	silver	mkt
1990-01-03	-0.36	-0.11	0.36	-1.32	0.28	-0.57	0.3	0.56	-0.53	0.26	-0.06	0.75	-0.32	0.026	0.150102396	-1.405620708	-0.608268387	-0.034
1990-01-04	-0.99	-0.38	-0.4	-1.11	0.42	-1.9	-0.3	-0.53	-1.28	-0.39	-0.71	0.43	-0.25	0.026	-1.302764203	1.125442141	2.200500366	-0.684
1990-01-05	-0.56	-1.02	-0.58	-1.04	-0.48	-1.87	-0.53	-1.34	-1.31	-0.39	-0.85	0.76	-0.23	0.026	-0.039675983	1.924345162	0.954434173	-0.824
1990-01-08	-0.27	0.19	0.39	1.08	0.66	1.13	0.24	0.57	-0.17	-0.08	0.3	-0.42	-0.24	0.026	-0.300460968	-0.793896228	-1.337976015	0.326
1990-01-09	-1.08	-0.41	-0.92	-1.23	-0.85	-1.48	-1.12	-1.03	-0.62	-0.83	-1.01	0.87	0.09	0.026	0.455703603	0.315775016	-0.204751506	-0.984
1990-01-10	-0.9	-0.42	-0.47	0.05	-1.02	-1.68	-0.99	-0.65	0.13	-0.94	-0.76	-0.05	0.32	0.026	-0.182084295	1.985896932	1.333745482	-0.734
1990-01-11	0.1	0.4	0.22	0.87	0.28	-0.4	0.19	0.47	0.27	0.27	0.23	-0.22	0.09	0.026	0.048948957	0.374518078	-0.034455407	0.256
1990-01-12	-2.4	-3.12	-2.26	-1.97	-2.36	-2.8	-2.42	-2.56	-1.69	-2.14	-2.33	0.34	0.39	0.026	-0.195591313	-0.168795805	0.449120944	-2.304
1990-01-16	1.43	2.19	0.75	0.4	2.21	1.35	0.59	0.81	0.56	0.67	0.92	-0.79	-0.41	0.026	0.591409797	-0.69447528	-0.224378824	0.946
1990-01-17	-1.04	-1.11	-0.73	-0.9	-0.8	-1.24	-0.55	-0.5	-0.29	-0.6	-0.76	0.96	-0.27	0.026	-0.08674417	0.379723343	0.455372142	-0.734
1990-01-18	0.13	0.15	0.19	0.55	-0.13	0	-0.35	0.67	0.18	-0.27	0.05	-0.66	-0.04	0.026	0.621068194	-0.552955942	-1.267823424	0.076
1990-01-19	0.06	0.14	0.31	1.28	-0.17	0.94	0.4	0.37	0.24	0.03	0.31	0.1	0.04	0.026	0.035332111	-0.050767707	0.211823943	0.336
1990-01-22	-2.38	-2.32	-2.55	-2.67	-1.94	-3.07	-2	-2.47	-1.03	-2.08	-2.31	0.82	0.49	0.026	0.58955788	-0.60993622	1.294868214	-2.284
1990-01-23	-0.16	0.14	-0.07	0.26	0.15	0.26	0.24	-0.03	0.22	-0.44	-0.07	-0.47	0.05	0.026	-0.637593843	1.413858989	0.490721009	-0.044
1990-01-24	-0.4	-0.93	-0.42	-0.06	0.39	-0.24	-0.56	-0.07	-0.78	-0.76	-0.44	-1.09	-0.36	0.026	-0.21073476	0.994155469	-1.525638869	-0.414
1990-01-25	-1.91	-0.55	-1.71	-0.72	-0.66	-0.9	-0.57	-1.58	-0.74	-0.65	-1.07	1.01	0.31	0.026	-0.065210937	-0.333204378	-0.073554895	-1.044
1990-01-26	-0.32	0.63	-0.03	0.09	-0.2	-1.6	-0.35	-0.28	0.19	-0.6	-0.36	-0.55	0.45	0.026	-0.03079014	0.98820156	0.154695204	-0.334
1990-01-29	-0.13	-0.53	-0.42	0.54	-0.23	0.07	-0.47	-0.34	-0.14	-0.81	-0.34	-0.69	0.02	0.026	-0.581302359	-0.170451877	-0.068681937	-0.314
1990-01-30	-1.02	-0.82	-0.51	0.23	-0.59	-1.82	-1.08	-1.19	-0.32	-1.28	-0.9	-0.64	0.58	0.026	0.256098926	-0.261139234	-0.13089038	-0.874
1990-01-31	2.36	1.48	1.52	1.35	1.42	2.51	1.87	1.27	1.68	1.52	1.67	-1.22	-0.16	0.026	0.122301214	-1.427644355	-0.303092985	1.696
1990-02-01	-0.05	-0.03	0.04	0	-0.12	0.11	0.11	0.53	0.28	0.09	0.08	0.56	-0.03	0.03	-0.070497195	1.329023988	1.915785479	0.11
1990-02-02	0.72	0.4	0.68	0.77	0.58	1.28	0.59	1.26	0.33	0.72	0.73	0.31	-0.54	0.03	0.221177083	0.045100639	0.208957081	0.76
1990-02-05	0.18	0.15	0.43	0.21	1.13	0.62	0.2	-0.01	0.06	0.58	0.38	0.21	-0.28	0.03	-0.360498296	1.028896915	0.439292331	0.41
1990-02-06	-0.64	-0.64	-0.38	-0.1	0.38	-1.43	-0.58	-0.87	-0.29	-0.56	-0.54	0.63	0.13	0.03	-0.326750928	-0.235785744	-0.408304113	-0.51
1990-02-07	1.2	2.52	0.95	1.72	2.11	0.38	1.37	1.14	0.5	0.78	1.07	-0.42	-0.27	0.03	0.197172303	-0.754991746	0.040529969	1.1
1990-02-08	-0.24	-0.41	-0.07	1.05	-0.12	-0.44	-0.06	-0.15	-0.01	-0.21	-0.09	0.29	-0.07	0.03	0.47919313	0.116270184	0.152466208	-0.06
1990-02-09	-0.05	0.73	0.46	0.27	0.07	0.06	0.58	0.07	0.46	0.23	0.24	-0.03	0.08	0.03	-0.033199705	-0.665179418	-1.295859114	0.27
1990-02-12	-1.03	0.04	-1.01	-1.05	-1.14	-1.05	-1.08	-0.84	-0.55	-0.77	-0.94	0.51	0.19	0.03	-0.177196019	0.776496386	0.65389574	-0.91
1990-02-13	-0.33	0.08	0.17	0.49	0.81	0.21	0.04	-0.09	0.23	0.14	0.14	-0.51	0.14	0.03	0.135137771	-0.356363835	0.571434374	0.17
1990-02-14	0.1	0.01	0.18	0.05	0.3	0.48	0.2	0.29	0.24	0.28	0.2	-0.12	0.1	0.03	0.01255399	-0.286488834	-0.033406332	0.23
1990-02-15	0.75	1.3	0.56	1.92	0.6	0.62	0.59	1.02	0.13	0.9	0.78	-0.37	-0.05	0.03	0.164371703	-1.053210632	0.021963256	0.81
1990-02-16	-0.58	-1.26	-0.21	-0.43	-1.04	-1.12	-0.71	-1.03	-0.42	0.2	-0.5	0.52	0.2	0.03	-0.276132077	1.120904235	0.187972982	-0.47
1990-02-20	-1.15	-0.7	-1.32	-0.95	-1.31	-2.23	-1.55	-1.29	-1.08	-1.21	-1.35	0.53	0.35	0.03	0.218180715	0.748857677	0.177972985	-1.32
1990-02-21	-0.54	1.54	-0.22	0.14	0.41	-0.51	-0.25	-0.73	-0.32	-0.15	-0.21	-0.49	0.48	0.03	-0.354231209	-0.451679602	-1.145528954	-0.18
1990-02-22	-0.18	-0.64	-0.04	-1.31	-0.69	-0.12	-0.08	-1.12	-0.36	0.03	-0.36	0.82	0	0.03	-0.024950506	-0.59703729	-0.127694813	-0.33
1990-02-23	-0.39	-0.21	-0.4	-0.52	-0.57	-0.61	-0.49	-1.76	-0.27	-0.33	-0.55	-0.21	0.49	0.03	0.415149822	-0.169609601	-0.596240375	-0.52
1990-02-26	0.99	1.78	1.08	1.37	1.26	1.39	1.27	0.9	0.48	0.68	1	-1.31	-0.12	0.03	0.729505814	-1.476205763	-1.734089913	1.03
